Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
185,Waymo LLC,Waymo LLC,8/25/2022,06:05,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,,Yes,"On August 25, 2022 at 6:05 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van on 15th Street at Albion Street.  The Waymo AV was traveling west on 15th street and came to a stop behind a double-parked vehicle in the right lane. Shortly after coming to a stop, a van approached from behind and made contact with the rear of the Waymo AV. The van then changed lanes and left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained moderate damage.",,Yes,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,1,1,1,1,0
186,Zoox Inc. ,Zoox Inc. ,8/30/2022,09:01,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,Vehicle,2,,Yes,,,Toyota Sienna,Yes,"A Zoox vehicle in autonomy was proceeding straight on Kearney Street in San Francisco, CA, in stop-and-go traffic. The Zoox vehicle came to a stop for a vehicle ahead when Vehicle Two made light contact with the Zoox vehicle's rear bumper from behind. There were no injuries and the police were not called. ",Yes,,,,,,,,,Yes,,,Yes,,37.7929,-122.4079,0,0,0,1,0
187,Cruise LLC,Cruise,09/01/2022,06:46,PM,2022,AV,San Francisco,San Francisco,Moving,,,Motorcycle,2,,Yes,,,Yamaha SMAX,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling westbound on Pine Street between Powell Street and Stockton Street. At the same time, a motorcyclist approaching from the rear began to merge into the Cruise AV's lane behind the Cruise AV, and subsequently made contact with the Cruise AV's rear passenger side bumper, damaging the motorcycle's front fender. The driver of the motorcycle reported minor injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7913369,-122.4085224,-1,0,0,1,3
188,Zoox Inc.,Zoox Inc.,09/01/2022,11:30,AM,2016,Highlander,San Francisco,San Francisco,Moving,,Yes,,2,,Yes,,,,Yes,"A Zoox vehicle in autonomy was slowing for a right turn from Treat Ave. to Alameda St. in San Francisco, CA with its turn indicator and brake lights illuminated, when a following bicyclist struck the rear right corner of the Zoox vehicle. The Zoox vehicle camera bracket was damaged. Police were not called and no injuries were reported.",Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,-1,0,1,1,4
189,Cruise LLC,Cruise,09/05/2022,05:14,AM,2022,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Honda Accord,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Sacramento Street between Van Ness Avenue and Polk Street. The Cruise AV approached a semi-trailer truck that was stopped in the left lane of traffic. The Cruise AV stopped before maneuvering into the bus and taxi lane to pass the semi-trailer truck. As the Cruise AV was slowly maneuvering around the semi-trailer truck and merging back into the left lane of traffic, a Honda Accord traveling behind the Cruise AV attempted to pass the Cruise AV and made contact with the Cruise AV, damaging the rear passenger side bumper of the Cruise AV. The driver of the Honda Accord left the scene without exchanging information. There were no reported injuries.   ",Yes,,,,,,,,,Yes,,,Yes,,37.7913547,-122.4213305,-1,0,0,1,1
190,Waymo LLC,Waymo LLC,09/10/2022,12:57,PM,2021,I-PACE,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"On September 10th, 2022 at 12:57 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a pickup truck in a parking lot at 2121 Evans Avenue.  The Waymo AV came to a stop in the parking lot while yielding to both pedestrians and an oncoming pickup truck. While the Waymo AV was stopped, the oncoming pickup truck passed the Waymo AV on the left hand side, making contact with the rear left sensor of the Waymo AV. The pickup truck then left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was stationary and engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7486629,-122.3969068,0,0,0,1,2
191,Waymo LLC,Waymo LLC,9/15/2022,09:42,AM,2021,I-PACE,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"On September 15, 2022 at 9:42 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on California Street at 19th Avenue.  The Waymo AV stopped at a stop sign facing east on California Street at 19th Avenue. A passenger car approaching from behind made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7786,-122.4892,0,0,1,1,1
192,Waymo LLC,Waymo LLC,9/17/2022,06:38,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Toyota 4-Runner LTD,Yes,"On September 17, 2022 at 6:38 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Potrero Avenue and 24th Street.  While traveling northbound on Potrero Avenue, the Waymo AV changed lanes from the center lane to the right lane before slowing to a stop at a red light at 24th Street. While the Waymo AV was making the lane change, the vehicle immediately behind the Waymo AV in the right lane moved to the center lane and made contact with the right rear sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The SUV sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7531044,-122.406132,0,0,1,1,0
193,"Argo AI, LLC",Argo AI,9/22/2022,05:24,PM,2020,Escape,Palo Alto,Santa Clara,Moving,,Yes,,1,,Yes,,,,,"An Argo AI Autonomous Vehicle (""Argo AV"") was impacted by a cyclist while traveling east on Park Ave and approaching Cambridge Ave. The Argo AV was traveling in its lane adjacent to a cyclist who was traveling in a marked bike lane. As the Argo AV was passing the cyclist (while maintaining more than 2 meters of lateral margin), the cyclist veered left into the Argo AV's lane. In response, the Argo AV steered away from the cyclist, but the cyclist continued into the lane and the bicycle's left handlebar made contact with the Argo AV's passenger side door handle. The Test Specialist brought the AV to a stop. The cyclist maintained balance, continued to cross the lanes behind the stopped Argo AV, and left the scene after a brief conversation with the left seat Test Specialist, during which the cyclist indicated that he was fine and apologized. The Argo AV sustained minor damage to its passenger side door handle.",Yes,,,,,,,Yes,,,,,Yes,,37.418,-122.1274,0,0,0,1,4
194,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,10/03/2022,02:02,PM,2016,Highlander,San Francisco ,San Francisco,Stopped In Traffic,,,,2,,Yes,,,See Narrative. ,Yes,"A Zoox vehicle was in autonomy proceeding straight on Pine Street in San Francisco, CA when it encountered a double parked United States Postal Service van in lane (vehicle 2: model, year, VIN and insurance are unknown). The Zoox vehicle came to a complete stop while waiting for an opportunity to merge around vehicle 2. Vehicle 2 then rolled backwards into the Zoox vehicle, causing minor damage to front sensors and Vehicle 2 rear bumper. There were no injuries and first responders were not notified. Post incident review did not observe any brake lights or reverse lights on vehicle 2 while it was rolling backwards.    ",Yes,,,,,,,Yes,,,,,Yes,,37.79115922,-122.4090153,1,1,0,1,0
195,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,10/14/2022,02:52,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Nissan Altima SR,Yes,A Zoox vehicle was proceeding straight in autonomy through an intersection with a green light and right of way when vehicle 2 attempted an illegal left turn across lanes of traffic into Zoox’s right of way. The safety driver disengaged and applied max braking effort which allowed Zoox to mitigate but not completely prevent the unavoidable collision. The Zoox vehicle struck the right front corner of vehicle 2. No injuries were reported and the police were not called to the scene. ,Yes,,,,,,,Yes,,,,,Yes,,37.8002,-122.4091,0,0,1,1,1
196,Waymo LLC,Waymo LLC,10/21/2022,08:27,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,1,,Yes,,,,,"On October 21, 2022 at 8:27 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California made contact with the pavement on a steep hill on Filbert Street at Kearny Street.  The Waymo AV was on a steep hill, turning from Filbert Street onto Kearny Street, when the Waymo AV's undercarriage made contact with the pavement (the AV did not contact any vehicle or road user). At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.8002,-122.4091,1,0,1,0,0
197,Waymo LLC,Waymo LLC,11/08/2022,09:34,AM,2021,I-PACE,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Lexus GS,Yes,"On November 8, 2022 at 9:34 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 2nd Street at Minna Street.  The Waymo AV was stopped in traffic on northbound 2nd Street in autonomous mode. A passenger car that had been stopped behind the Waymo AV passed on the left side, crossing the double yellow line and making contact with the Waymo AV’s rear left sensor housing. The passenger car immediately left the scene.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",,,Yes,,,,,Yes,,,,,,Yes,37.7864,-122.3892,1,0,1,1,1
198,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,11/14/2022,08:22,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Mazda 3,Yes,"A Zoox vehicle in autonomy was proceeding straight on Folsom Street when a leading vehicle in the lane began to slow down prompting the Zoox vehicle to slow correspondingly. The Zoox vehicle, with brake lights illuminated, had slowed to 5 mph when it was struck from the rear by vehicle number 2. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their right hand. There were no injuries and police were not called.     ",Yes,,,,,,,,,Yes,,,Yes,,37.7725,-122.4147,0,0,0,1,1
199,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,11/20/2022,01:24,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,VN,Yes,"A Zoox vehicle in autonomy was stopped at a red light waiting for traffic ahead on Embarcadero with brake lights illuminated. When the traffic light changed to green, surrounding traffic began to move. The Zoox vehicle appropriately continued to wait for a stopped lead vehicle immediately ahead when vehicle 2 struck the Zoox vehicle from the rear. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their hand at the time of contact. There were no injuries and police were not called.    ",Yes,,,,,,,Yes,,,,,Yes,,37.7974,-122.4001,0,0,1,1,0
200,"Zoox, Inc. dba Zoox Labs, Inc. ",Zoox,11/28/2022,10:18,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Corolla SE,Yes,"A Zoox vehicle in autonomy was fully stopped with brake lights illuminated in the left turn lane at a red traffic light waiting to complete a left hand turn from Harrison St. onto 11th St in San Francisco, Ca. As the light turned green, the Zoox vehicle appropriately yielded to oncoming traffic when Vehicle 2 attempted to make a lane change to the right and struck the rear of the Zoox vehicle. The Zoox vehicle incurred minor damage to the rear sensors and bumper. There were no injuries and police were not called. ",Yes,,,,,,,,,Yes,,,Yes,,37.7725,-122.4147,0,0,1,1,1
201,Waymo LLC,Waymo LLC,12/12/2022,04:54,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda CRV,Yes,"On December 12, 2022 at 4:54 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Monterey Boulevard at Circular Avenue.  The Waymo AV was stopped facing east on Monterey Boulevard behind stopped traffic in the left-most through lane in autonomous mode. An SUV approached from behind and attempted to change lanes into the left turn lane, making contact with the left rear sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage. ",Yes,,,,,,,,Yes,,,,Yes,,37.745,-122.4383,0,1,1,1,0
202,Waymo LLC,Waymo LLC,12/13/2022,12:35,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Acura,Yes,"On December 13, 2022 at 12:35 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 19th Avenue at Ulloa Street.  The Waymo AV was stopped facing south on 19th Avenue for a red light in the right lane of the three-lane street while in autonomous mode. A passenger vehicle approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo sustained damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7441,-122.4863,0,0,1,1,1
203,Cruise LLC,Cruise,12/14/2022,11:51,PM,2023,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Honda Accord,,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling westbound in the left lane on Sacramento Street between Polk Street and Van Ness Avenue. At the same time, a Honda Accord traveling in the right lane behind the Cruise AV increased speed and maneuvered across the AV's lane into the parking lane to the left of the Cruise AV in an attempt to pass the Cruise AV. The Honda Accord then began to merge back into the Cruise AV's lane. The Cruise AV braked, but shortly thereafter, contact was made with the Cruise AV's front left quarter panel and front driver side mirror, damaging the front driver side mirror of the Cruise AV. The driver of the Honda Accord left the scene without exchanging information. There were no reported injuries. ",Yes,,,,,,,,,Yes,,,Yes,,37.7916196,-122.4222838,0,1,0,1,1
204,Waymo LLC,Waymo LLC,12/17/2022,01:50,PM,2021,I-PACE,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Honda Accord,Yes,"On December 17, 2022 at 1:50 PM PST, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger car on Embarcadero near the intersection with Folsom Street.  The Waymo AV was traveling southbound on Embarcadero in autonomous mode when it slowed and stopped for a parallel parking vehicle ahead. A passenger car following the Waymo AV made contact with the rear of the Waymo AV. At the time of impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode with a test driver present (in the driver's seating position). Both vehicles sustained damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7864,-122.3892,0,1,1,1,1
205,Cruise LLC,Cruise,12/18/2022,11:23,PM,2023,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Dodge Charger,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound in the right lane on Divisadero Street between Fulton Street and McAllister Street. The Cruise AV approached an eighteen-wheeler that was stopped in the right lane of southbound Divisadero Street. The Cruise AV began to navigate around the eighteen-wheeler and stopped briefly as it was completing its passing maneuver. Shortly thereafter, a Dodge Charger approached the stopped Cruise AV in the left lane and attempted to pass the Cruise AV on the lefthand side. Contact was made with the Cruise AV, damaging the front left wheel, front left fender, front left bumper, and front driver side mirror of the Cruise AV. The driver of the  Dodge Charger left the scene without exchanging information. There were no injuries and the Cruise AV was towed from the incident. ",Yes,,,,,,,,,Yes,,,Yes,,37.7772416,-122.4380995,1,1,0,1,1
206,Cruise LLC ,Cruise,12/28/2022,11:59,PM,2022,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Tesla Model 3,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling eastbound on Folsom Street in the leftmost lane between 9th Street and 10th Street. At the same time, a Model 3 Tesla traveling in the adjacent center lane veered into the Cruise AV’s lane without a turn signal. Shortly thereafter, contact was made with the Cruise AV’s front passenger side quarter panel and mirror, damaging the front passenger side quarter panel, front passenger side mirror and front passenger side radar assembly. The parties exchanged information and there were no reported injuries.",,,Yes,,,,,,,Yes,,,,Yes,37.7730713,-122.4127976,0,0,0,1,1
207,Waymo LLC,Waymo LLC,12/29/2022,03:15,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota,Yes,"On December 29, 2022 at 3:15 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 3rd Street and Mariposa Street.  The Waymo AV was stopped facing north on 3rd Street for a red light in the right lane of the three-lane street while in autonomous mode. A passenger vehicle approached from behind and stopped behind the Waymo AV before eventually proceeding forward and making contact with the rear of the Waymo AV while the AV was still stopped at the red light. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo sustained damage. ",,,Yes,,,,,,,Yes,,,,Yes,37.7694,-122.3867,0,0,1,1,1
208,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,01/01/2023,06:40,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,2,,Yes,,,Tesla,,"A Zoox vehicle in autonomous mode was proceeding straight in its lane on Mason Street in San Francisco, CA when an occupant of a parallel parked car (Vehicle 2) abruptly opened its rear passenger side door into the side of the Zoox vehicle, causing minor damage to both vehicles. The Zoox operator disengaged as a result of the contact. There were no injuries and the police were not called. ",Yes,,,,,,,,,Yes,,,Yes,,37.78441177,-122.4093202,0,1,0,1,0
209,Waymo LLC,Waymo LLC,1/22/2023,05:08,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Toyota Corolla,Yes,"On January 22, 2023 at 5:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Bayshore Boulevard at Jerrold Avenue.  The Waymo AV was traveling north on Bayshore Boulevard when, upon entering the intersection at Jerrold Avenue, a passenger vehicle which had previously been stopped at a red light, proceeded through the red light. The passenger vehicle approached from the left and made contact with the left rear bumper of the Waymo AV. The other vehicle immediately left the scene of the collision. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",Yes,,,,,,,Yes,,,,,Yes,,37.74734872,-122.4036186,0,0,1,1,1
210,"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.","MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",02/02/2023,08:25,AM,2021,S-CLASS,SANTA FE SPRINGS,LOS ANGELES,Stopped In Traffic,,,,2,,Yes,,,FRHT TRUCK TRACTOR,Yes,"The subject Mercedes-Benz DRIVE PILOT test vehicle was traveling between 15 – 20 mph in the #2 northbound lane on the 605 Freeway in California in stop and go traffic with the L3 ADS activated by the driver. The vehicle’s ADS determined that a truck traveling in the adjacent lane had a trajectory towards the Drive Pilot’s lane, and so the Mercedes-Benz test vehicle autonomously applied the brakes to avoid a collision.  After applying the brakes and bringing itself to a standstill, the Mercedes-Benz was then struck in the rear bumper by a trailing semi-truck that did not stop in time.  No injuries were reported, no airbags deployed in either vehicle, and both vehicles were able to be driven from the scene of the incident. The Mercedes-Benz vehicle experienced minor damage to the rear bumper, and no damage was observed on the semi-truck at the scene. The CA Traffic Collision Report for the subject incident noted a violation of California Vehicle Code 22350 (unsafe speed for traffic conditions) by the semi-truck in the #2 lane that struck the rear bumper of the Mercedes-Benz. ",Yes,,,,,,,Yes,,,,,Yes,,33.95498082,-118.0547184,0,0,0,1,2
211,"Zoox, Inc. dba Zoox Labs, Inc. ",Zoox,02/07/2023,02:28,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,2,,Yes,,,,Yes,A Zoox vehicle in autonomous mode was making a right turn to travel southwest onto 2nd Street from Folsom Street from lane 1 when Vehicle 2 crossed from lane 3 into the Zoox vehicle's lane and made contact with the Zoox vehicle's front sensors before making the right turn.  Vehicle 2 did not stop before leaving the scene. No information was exchanged. There were no injuries and the police were not called.,Yes,,,,,,,Yes,,,,,,,37.78566112,-122.3967211,-1,0,1,1,1
212,"Zoox, Inc. dba Zoox Labs, Inc. ",Zoox,02/08/2023,01:27,PM,2106,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,Vehicle,2,,Yes,,,Nissan Frontier,Yes,A Zoox vehicle in autonomy was stopped with brake lights illuminated in traffic southbound on Embarcadero Street towards Folsom Street. When traffic ahead began to move the Zoox vehicle was appropriately following the car ahead at low speed when it was rear ended by Vehicle #2 at low speed. The other party did not stop to exchange information and left the scene. There were no injuries and police were not called. ,Yes,,,,,,,Yes,,,,,Yes,,37.79074892,-122.3901789,0,0,0,1,0
213,"Zoox, Inc. dba Zoox Labs, Inc. ",Zoox,02/11/2023,06:06,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,Vehicle,2,,Yes,,,Volvo C70,Yes,A Zoox vehicle in autonomous mode was slowing to a stop with brake lights illuminated behind traffic on northbound 5th Street near Jesse Street when a vehicle behind made contact at approximately 10mph. There were no injuries and police were not called. ,Yes,,,,,,,,,Yes,,,Yes,,37.78323969,-122.4070882,-1,0,0,1,0
214,Waymo LLC,Waymo LLC,2/15/2023,05:44,AM,2021,I-PACE,San Francisco,San Francisco,Moving,,,,1,,Yes,,,,,"On February 15, 2023 at 5:43 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving road debris on North Point Street at Buchanan Street.  The Waymo AV was proceeding East on North Point Street through the intersection with Buchanan Street when the front of the Waymo AV made contact with cardboard debris. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.80412894,-122.43356,0,0,1,0,0
215,Waymo LLC,Waymo LLC,2/24/2023,12:15,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Toyota Prius,Yes,"On February 24, 2023 at 12:15 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Toland Street at Hudson Avenue.  The Waymo AV was traveling southwest on Toland Street in autonomous mode. While the Waymo AV was making a left turn onto Hudson Avenue, a passenger vehicle proceeded into the intersection from the left and made contact with the left side of the Waymo AV. The other vehicle immediately left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. ",,,Yes,,,,,,,Yes,,,,Yes,37.74541819,-122.3976471,-1,0,1,1,1
216,Waymo LLC,Waymo LLC,2/25/2023,07:23,AM,2021,I-PACE,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,,Yes,"On February 25th, 2023 at 7:23 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on 25th Street at Noe Street.   The Waymo AV was proceeding East on 25th Street near the intersection with Noe Street when it came to a stop to yield to a heavy truck traveling West on 25th Street. As the heavy truck moved past the Waymo AV, the front left tire of the heavy truck made contact with the rear left sensor of the Waymo AV. The heavy truck then left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,,,,,,,Yes,,,,,,,37.74989527,-122.4317712,-1,0,1,1,2
217,Waymo LLC,Waymo LLC,03/01/2023,08:27,PM,2021,I-PACE,San Francisco,San Francisco,Moving,,,,1,Yes,,,,,,"On March 1, 2023 at 8:27 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving a fixed object on O’Farrell Street near Anzavista Avenue.  As the Waymo AV was leaving a parking lot to turn left onto O’Farrell Street, the front of the Waymo AV made contact with a chain that was connected between a parking lot road sign and a temporary pole. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The road sign fell down due to tension on the chain.",Yes,,,,,,,,,Yes,,,Yes,,37.78125897,-122.4463024,0,1,0,0,0
218,Cruise LLC,Cruise,03/03/2023,04:23,AM,2023,AV,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Semi-Trailer Truck,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Bryant Street in the rightmost lane between 11th Street and 10th Street. As the Cruise AV proceeded straight into the intersection with 10th Street, a semi-trailer truck traveling in the lane to the left of the Cruise AV began to make a right turn onto 10th Street and crossed into the Cruise AV’s lane without a turn signal. The Cruise AV braked and the semi-trailer truck made contact with the left side of the Cruise AV, causing damage to the driver side front, rear, and bumper of the Cruise AV. The parties exchanged information and there were no injuries.",Yes,,,,,,,,,Yes,,,Yes,,37.77014567,-122.4101118,0,0,1,1,2
219,Cruise LLC,Cruise,03/06/2023,01:06,AM,2022,AV,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Infiniti Q50,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on northbound Polk Street at the intersection with Sutter Street. The Cruise AV began to proceed as the light turned green when an Infiniti Q50 passed the Cruise AV in the oncoming traffic lane and began performing “donuts” in the intersection. The Cruise AV began to initiate a left turn onto Sutter Street when the Infiniti Q50 made contact with the Cruise AV’s front driver side bumper, causing damage to the front driver side bumper, front driver side fascia and front driver side headlight. The driver of the Infiniti Q50 left the scene without exchanging information. There were no reported injuries and the Cruise AV was towed from the incident.",Yes,,,,,,,,,Yes,,,Yes,,37.78787142,-122.4201434,0,0,1,1,1
220,Waymo LLC,Waymo LLC,03/12/2023,09:28,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Toyota Carolla SE,Yes,"On March 12, 2023 at 9:28 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Cesar Chavez Street at Mission Street.  The Waymo AV was stopped in the dedicated left turn lane facing west on Cesar Chavez Street, awaiting a green signal to turn onto Mission Street. The signal for traffic proceeding west on Cesar Chavez Street turned green, and traffic in adjacent lanes began moving. The left turn arrow signal for the dedicated turn lane occupied by the Waymo AV remained red. The passenger car that had been stopped directly behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The passenger car sustained minor damage.",,,Yes,,,,,,,Yes,,,,Yes,37.74823922,-122.4182873,0,0,1,1,1
221,Waymo LLC,Waymo LLC,3/16/2023,02:19,AM,2021,I-Pace,San Bruno,San Mateo,Moving,,,,1,,Yes,,,,,"On March 16, 2023 at 2:19 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Bruno, CA was in a collision involving road debris on Interstate 280 at the interchange ramp for Interstate 380 (Exit 43A).   The Waymo AV was traveling south on Interstate 280 in the rightmost exit lane for Exit 43A towards Interstate 380 when it made contact with road debris (tire scrap). At the time of the impact, the Waymo AV’s Level 4 ADS was (engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage.",Yes,,,,,,,,,Yes,,,Yes,,37.49054496,-122.2991651,0,0,1,0,0
